Player,Season,total_wickets,total_runs_conceded,total_balls_bowled,total_dot_balls,total_boundaries_conceded,total_innings_bowled,Economy_Rate,Balls_Per_Wicket,Dot_Ball_Percentage,z_wickets,z_economy,z_strike,z_economy_inv,z_strike_inv,Bowling_Impact_Score
CK Langeveldt,2010,5,84,66,26,12,3,7.636363636363637,13.2,39.39393939393939,0.1775931103563334,-0.3367854758356813,-0.6763109347256845,0.3367854758356813,0.6763109347256845,0.3001584936555404
CK Langeveldt,2011,5,80,66,27,11,3,7.272727272727273,13.2,40.909090909090914,0.1560667526654039,-0.3525431406615643,-0.8469653741971043,0.3525431406615643,0.8469653741971043,0.3186444622940071
CL White,2008,0,22,6,0,4,8,22.0,,0.0,-0.7229054535541496,5.074308340409939,,-5.074308340409939,,
CL White,2010,0,18,6,2,3,5,18.0,,33.33333333333333,-0.7358886929133128,4.411162775589443,,-4.411162775589443,,
CL White,2011,0,0,0,0,0,6,,,0.0,-0.7023003869943175,,,,,
CL White,2012,0,25,18,1,2,13,8.333333333333332,,5.555555555555555,-0.7175879219576333,-0.056517436043549876,,0.056517436043549876,,
CL White,2013,1,16,12,5,2,13,8.0,12.0,41.66666666666667,-0.5034364685448559,0.1485027967449599,-0.8853764628345613,-0.1485027967449599,0.8853764628345613,-0.18863442729797456
CM Gautam,2013,0,0,0,0,0,3,,,0.0,-0.6414414305515577,,,,,
CM Gautam,2014,0,0,0,0,0,9,,,0.0,-0.7346011154146876,,,,,
CM Gautam,2015,0,0,0,0,0,1,,,0.0,-0.729007588136351,,,,,
CR Brathwaite,2016,9,179,139,41,21,8,7.726618705035971,15.444444444444445,29.496402877697843,0.8118483211459231,-0.2609462566575797,-0.5665038820706884,0.2609462566575797,0.5665038820706884,0.6097760359381349
CR Brathwaite,2017,1,65,36,6,9,2,10.833333333333334,36.0,16.666666666666664,-0.556117851886815,0.9627027165811758,1.0981553347702764,-0.9627027165811758,-1.0981553347702764,-0.7593989337276426
CR Brathwaite,2018,6,91,61,21,15,4,8.950819672131148,10.166666666666666,34.42622950819672,0.1849952411152631,-0.012526809369091908,-1.1856860445651924,0.012526809369091908,1.1856860445651924,0.28335833210890116
CR Brathwaite,2019,0,26,18,6,4,2,8.666666666666666,,33.33333333333333,-0.6646256128631671,-0.058404819466542995,,0.058404819466542995,,
CR Woakes,2017,18,372,264,87,52,13,8.454545454545455,14.666666666666666,32.95454545454545,2.209221375045793,-0.15207368396819537,-0.6427869209511891,0.15207368396819537,0.6427869209511891,1.3571118996083231
CR Woakes,2018,8,182,110,44,31,5,9.927272727272728,13.75,40.0,0.5000157088429683,0.5132629268711267,-0.795298825149075,-0.5132629268711267,0.795298825149075,0.24032458557465586
CR Woakes,2021,5,80,66,30,13,3,7.272727272727273,13.2,45.45454545454545,0.11349902757887942,-0.5113688106598024,-0.7835276358887282,0.5113688106598024,0.7835276358887282,0.33336425374963363
