Player,Season,total_wickets,total_runs_conceded,total_balls_bowled,total_innings_bowled,Economy_Rate,Balls_Per_Wicket,z_wickets,z_economy,z_strike,z_economy_inv,z_strike_inv,Bowling_Impact_Score
GB Hogg,2012,10,241,216,9,6.694444444444445,21.6,0.85658394884791,-0.6848242500824085,-0.12659364754073002,0.6848242500824085,0.12659364754073002,0.6869695090839075
GB Hogg,2013,0,29,20,1,8.7,,-0.643807316854346,0.5195219776110861,,-0.5195219776110861,,
GB Hogg,2015,10,142,126,6,6.761904761904762,12.6,0.8164032346673172,-0.8731774597599458,-0.7142066334831312,0.8731774597599458,0.7142066334831312,0.8209447232721093
GB Hogg,2016,5,136,96,5,8.5,19.2,0.1358428679651281,0.17249472997483511,-0.3791494076007732,-0.17249472997483511,0.3791494076007732,0.06442068963148774
GC Smith,2008,0,0,0,11,,,-0.7229054535541496,,,,,
GC Smith,2009,0,0,0,12,,,-0.7322492347976829,,,,,
GC Smith,2010,0,0,0,2,,,-0.7358886929133128,,,,,
GC Smith,2011,0,0,0,4,,,-0.7023003869943175,,,,,
GC Viljoen,2019,8,210,138,6,9.130434782608695,17.25,0.5924049148427937,0.15394610987723825,-0.5073754536911418,-0.15394610987723825,0.5073754536911418,0.3184276370180347
GD McGrath,2008,14,351,324,14,6.5,23.142857142857142,1.6273241777394571,-0.7623499859424637,0.2402612901957079,0.7623499859424637,-0.2402612901957079,1.0444453904202347
GD Phillips,2021,1,19,12,3,9.5,12.0,-0.5015924767195639,0.8674472840854252,-0.8754505110123815,-0.8674472840854252,0.8754505110123815,-0.42308521113782344
GD Phillips,2023,1,20,18,5,6.666666666666667,18.0,-0.5220511294588948,-1.095703176509153,-0.37605321811078013,1.095703176509153,0.37605321811078013,0.17887852976537316
GH Vihari,2013,1,37,36,17,6.166666666666666,36.0,-0.5063495454998234,-0.8232141055234671,1.105168926712272,0.8232141055234671,-1.105168926712272,-0.13082517482353903
GH Vihari,2015,0,0,0,4,,,-0.729007588136351,,,,,
GH Vihari,2019,0,9,6,2,9.0,,-0.6646256128631671,0.09422241099929995,,-0.09422241099929995,,
GHS Garton,2021,3,127,90,5,8.466666666666667,30.0,-0.19404672457034222,0.2277516537342378,0.503392615842418,-0.2277516537342378,-0.503392615842418,-0.252245333468517
GJ Bailey,2009,0,0,0,2,,,-0.7322492347976829,,,,,
GJ Bailey,2010,0,0,0,1,,,-0.7358886929133128,,,,,
GJ Bailey,2014,0,0,0,16,,,-0.7346011154146876,,,,,
GJ Bailey,2015,0,0,0,12,,,-0.729007588136351,,,,,
GJ Bailey,2016,0,0,0,5,,,-0.7091639485108657,,,,,
GJ Maxwell,2012,2,21,18,2,7.0,9.0,-0.40275354779652467,-0.5676823017022823,-1.0478911673594096,0.5676823017022823,1.0478911673594096,0.1544957068014479
GJ Maxwell,2013,0,23,12,3,11.5,,-0.643807316854346,2.0035987010755925,,-2.0035987010755925,,
GJ Maxwell,2014,1,127,66,16,11.545454545454547,66.0,-0.5679453399773257,1.5910789410974908,2.593029690117738,-1.5910789410974908,-2.593029690117738,-1.2298047528904454
GJ Maxwell,2015,2,93,60,11,9.3,30.0,-0.4199254235756174,0.5618696645134208,0.28659152259457016,-0.5618696645134208,-0.28659152259457016,-0.4496058227566915
GJ Maxwell,2016,0,78,54,11,8.666666666666666,,-0.7091639485108657,0.26590294259794434,,-0.26590294259794434,,
GJ Maxwell,2017,7,124,114,14,6.526315789473685,16.285714285714285,0.4198842282070467,-1.0557040347990299,-0.5106618390437565,1.0557040347990299,0.5106618390437565,0.6560378021397473
GJ Maxwell,2018,5,130,96,12,8.125,19.2,0.027485007251410516,-0.457205132925428,-0.20154710073479407,0.457205132925428,0.20154710073479407,0.20399636525982418
GJ Maxwell,2020,3,169,126,13,8.047619047619047,42.0,-0.22359422330022946,-0.23599715326763201,1.1213910505680857,0.23599715326763201,-1.1213910505680857,-0.19740676559165637
GJ Maxwell,2021,3,132,96,14,8.25,32.0,-0.19404672457034222,0.09362192478963392,0.6565974077151736,-0.09362192478963392,-0.6565974077151736,-0.228280647118819
GJ Maxwell,2022,8,163,144,13,6.791666666666666,18.0,0.48284907096968205,-0.7097458230257491,-0.3714679698129998,0.7097458230257491,0.3714679698129998,0.5455557690158032
GJ Maxwell,2023,3,92,62,14,8.903225806451612,20.666666666666668,-0.21075673272021003,-0.0008115375548596487,-0.18458477308830953,0.0008115375548596487,0.18458477308830953,-0.07740661225265771
GJ Maxwell,2024,7,123,96,10,7.6875,13.714285714285714,0.4421259263157035,-0.74527516095801,-0.6978131091605342,0.74527516095801,0.6978131091605342,0.5865812358672354
GJ Maxwell,2025,4,106,78,7,8.153846153846153,19.5,-0.05346564388120157,-0.6857820964588628,-0.2706441875221225,0.6857820964588628,0.2706441875221225,0.25388753994831953
GR Napier,2009,1,27,24,1,6.75,24.0,-0.558155396553277,-0.3702822123849837,0.1282653804896989,0.3702822123849837,-0.1282653804896989,-0.168718731015349
GS Sandhu,2015,1,82,48,2,10.25,48.0,-0.5744665058559842,1.0990026875763408,1.3218999599163301,-1.0990026875763408,-1.3218999599163301,-0.8701691875671608
Gagandeep Singh,2008,3,141,84,4,10.071428571428571,28.0,-0.21928481827694818,0.582502162986661,0.7741842004804846,-0.582502162986661,-0.7741842004804846,-0.4296457962558782
Gulbadin Naib,2024,0,12,6,2,12.0,,-0.6654600843005194,0.5835794429296707,,-0.5835794429296707,,
Gurkeerat Singh,2012,0,0,0,4,,,-0.7175879219576333,,,,,
Gurkeerat Singh,2013,0,0,0,9,,,-0.643807316854346,,,,,
Gurkeerat Singh,2015,3,64,54,5,7.111111111111111,18.0,-0.26538434129525057,-0.6757350786841858,-0.4036141022866032,0.6757350786841858,0.4036141022866032,0.1643572222348302
Gurkeerat Singh,2016,2,29,24,6,7.25,12.0,-0.3711612219204682,-0.5280668646984864,-0.7383378675312615,0.5280668646984864,0.7383378675312615,0.10999347181392535
Gurkeerat Singh,2019,0,0,0,3,,,-0.6646256128631671,,,,,
Gurkeerat Singh,2020,0,0,0,5,,,-0.6688039599599783,,,,,
Gurnoor Brar,2023,0,38,18,1,12.666666666666668,,-0.677698327828237,1.841554201070155,,-1.841554201070155,,
H Das,2008,0,0,0,1,,,-0.7229054535541496,,,,,
