Player,Season,total_wickets,total_runs_conceded,total_balls_bowled,total_dot_balls,total_boundaries_conceded,total_innings_bowled,Economy_Rate,Balls_Per_Wicket,Dot_Ball_Percentage
AT Rayudu,2012,0,0,0,0,0,15,,,0.0
AT Rayudu,2013,0,0,0,0,0,15,,,0.0
AT Rayudu,2014,0,0,0,0,0,14,,,0.0
AT Rayudu,2015,0,0,0,0,0,14,,,0.0
AT Rayudu,2016,0,0,0,0,0,12,,,0.0
AT Rayudu,2017,0,0,0,0,0,5,,,0.0
AT Rayudu,2018,0,0,0,0,0,16,,,0.0
AT Rayudu,2019,0,0,0,0,0,17,,,0.0
AT Rayudu,2020,0,0,0,0,0,11,,,0.0
AT Rayudu,2021,0,0,0,0,0,13,,,0.0
AT Rayudu,2022,0,0,0,0,0,11,,,0.0
AT Rayudu,2023,0,0,0,0,0,12,,,0.0
AU Rashid,2021,0,35,18,6,5,1,11.666666666666666,,33.33333333333333
AU Rashid,2023,2,56,42,14,6,2,8.0,21.0,33.33333333333333
AUK Pathan,2011,0,43,33,7,5,5,7.818181818181818,,21.21212121212121
AUK Pathan,2012,0,14,6,2,2,2,14.0,,33.33333333333333
Abdul Basith,2023,0,0,0,0,0,1,,,0.0
Abdul Samad,2020,1,91,42,9,12,7,13.0,42.0,21.428571428571427
Abdul Samad,2021,1,9,6,1,1,10,9.0,6.0,16.666666666666664
Abdul Samad,2022,0,8,6,1,1,2,8.0,,16.666666666666664
Abdul Samad,2023,0,0,0,0,0,8,,,0.0
Abdul Samad,2024,0,0,0,0,0,12,,,0.0
Abdul Samad,2025,0,6,2,1,1,12,18.0,,50.0
Abdur Razzak,2008,0,19,12,5,3,1,9.5,,41.66666666666667
Abhishek Sharma,2018,0,0,0,0,0,3,,,0.0
Abhishek Sharma,2019,1,19,12,1,2,3,9.5,12.0,8.333333333333332
Abhishek Sharma,2020,2,89,60,10,8,8,8.9,30.0,16.666666666666664
Abhishek Sharma,2021,4,61,60,23,6,8,6.1,15.0,38.333333333333336
Abhishek Sharma,2022,0,38,24,3,4,14,9.5,,12.5
Abhishek Sharma,2023,2,121,72,21,17,11,10.083333333333334,36.0,29.166666666666668
Abhishek Sharma,2024,2,51,42,12,6,16,7.285714285714285,21.0,28.57142857142857
Abhishek Sharma,2025,0,111,66,21,17,14,10.090909090909092,,31.818181818181817
Abishek Porel,2023,0,0,0,0,0,4,,,0.0
Abishek Porel,2024,0,0,0,0,0,12,,,0.0
Abishek Porel,2025,0,0,0,0,0,13,,,0.0
Akash Deep,2022,6,199,113,39,29,5,10.56637168141593,18.833333333333332,34.51327433628318
Akash Deep,2023,1,49,30,10,7,2,9.8,30.0,33.33333333333333
Akash Deep,2024,1,53,21,6,8,1,15.142857142857142,21.0,28.57142857142857
Akash Deep,2025,3,212,114,34,36,6,11.157894736842106,38.0,29.82456140350877
Akash Madhwal,2023,16,204,153,50,24,8,8.0,9.5625,32.6797385620915
Akash Madhwal,2024,6,183,109,33,30,5,10.073394495412844,18.166666666666668,30.275229357798167
Akash Madhwal,2025,4,155,90,22,23,4,10.333333333333334,22.5,24.444444444444443
Akash Singh,2021,0,39,24,7,6,1,9.75,,29.166666666666668
Akash Singh,2023,5,185,114,46,30,6,9.736842105263158,22.8,40.35087719298245
Akash Singh,2025,4,99,67,20,16,3,8.865671641791046,16.75,29.850746268656714
Aman Hakim Khan,2022,0,13,6,1,2,1,13.0,,16.666666666666664
Aman Hakim Khan,2023,0,0,0,0,0,9,,,0.0
Anand Rajan,2011,5,45,30,15,7,2,9.0,6.0,50.0
Anand Rajan,2012,3,104,71,18,15,4,8.788732394366198,23.666666666666668,25.352112676056336
Anand Rajan,2013,2,39,48,24,3,2,4.875,24.0,50.0
Aniket Verma,2025,0,0,0,0,0,12,,,0.0
Anirudh Singh,2010,0,0,0,0,0,4,,,0.0
Ankit Sharma,2012,4,163,145,62,17,9,6.744827586206897,36.25,42.758620689655174
Ankit Sharma,2013,0,17,12,5,3,1,8.5,,41.66666666666667
Ankit Sharma,2014,4,43,48,22,3,2,5.375,12.0,45.83333333333333
Ankit Sharma,2015,3,108,84,29,13,4,7.714285714285715,28.0,34.523809523809526
Ankit Sharma,2016,1,78,66,17,6,3,7.090909090909092,66.0,25.757575757575758
Ankit Sharma,2017,0,16,6,1,3,1,16.0,,16.666666666666664
Ankit Sharma,2018,0,11,6,1,2,1,11.0,,16.666666666666664
Ankit Soni,2017,4,141,109,37,15,6,7.761467889908257,27.25,33.94495412844037
Anmolpreet Singh,2021,0,0,0,0,0,1,,,0.0
Anmolpreet Singh,2022,0,0,0,0,0,2,,,0.0
Anmolpreet Singh,2023,0,0,0,0,0,4,,,0.0
Anmolpreet Singh,2024,0,0,0,0,0,2,,,0.0
Anuj Rawat,2021,0,0,0,0,0,1,,,0.0
Anuj Rawat,2022,0,0,0,0,0,8,,,0.0
Anuj Rawat,2023,0,0,0,0,0,7,,,0.0
Anuj Rawat,2024,0,0,0,0,0,5,,,0.0
Anureet Singh,2009,2,43,30,16,7,2,8.6,15.0,53.333333333333336
Anureet Singh,2015,16,447,310,105,66,14,8.651612903225807,19.375,33.87096774193548
Anureet Singh,2016,1,35,36,12,3,2,5.833333333333333,36.0,33.33333333333333
Anureet Singh,2017,0,26,12,2,5,1,13.0,,16.666666666666664
Anureet Singh,2018,2,42,24,4,5,3,10.5,12.0,16.666666666666664
Arjun Tendulkar,2023,4,79,59,23,11,4,8.033898305084746,14.75,38.983050847457626
Arjun Tendulkar,2024,0,21,14,7,3,1,9.0,,50.0
Arshad Khan,2023,5,176,85,25,32,6,12.423529411764708,17.0,29.411764705882355
Arshad Khan,2024,1,82,49,19,14,3,10.040816326530614,49.0,38.775510204081634
Arshad Khan,2025,6,206,126,46,34,9,9.80952380952381,21.0,36.507936507936506
Arshad Khan (2),2024,0,22,12,4,5,1,11.0,,33.33333333333333
Arshdeep Singh,2019,3,104,60,15,16,3,10.4,20.0,25.0
Arshdeep Singh,2020,11,207,149,55,29,8,8.335570469798657,13.545454545454545,36.91275167785235
Arshdeep Singh,2021,20,327,248,82,38,12,7.911290322580646,12.4,33.064516129032256
Arshdeep Singh,2022,12,356,300,102,43,14,7.120000000000001,25.0,34.0
Arshdeep Singh,2023,18,474,305,110,78,14,9.324590163934426,16.944444444444443,36.0655737704918
Arshdeep Singh,2024,20,481,302,108,76,14,9.556291390728477,15.1,35.76158940397351
Arshdeep Singh,2025,22,496,350,134,77,16,8.502857142857142,15.909090909090908,38.285714285714285
Ashutosh Sharma,2024,0,0,0,0,0,9,,,0.0
